City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Nikolskoye,RU,2021-11-09 12:01:54,59.7035,30.7861,32.88,65,7,4.68
134,East London,ZA,2021-11-09 12:01:54,-33.0153,27.9116,67.91,63,45,12.3
135,Baykit,RU,2021-11-09 12:01:55,61.67,96.37,25.52,94,98,6.64
136,Los Llanos De Aridane,ES,2021-11-09 12:01:55,28.6585,-17.9182,69.55,65,40,13.0
137,Castro,BR,2021-11-09 12:01:41,-24.7911,-50.0119,64.74,82,92,5.32
138,Sakakah,SA,2021-11-09 12:01:56,29.9697,40.2064,73.65,7,2,5.5
139,Raudeberg,NO,2021-11-09 12:01:56,61.9875,5.1352,51.4,81,64,8.01
140,Saint Anthony,US,2021-11-09 12:02:57,45.0205,-93.218,39.72,77,1,0.0
141,Thompson,CA,2021-11-09 12:02:58,55.7435,-97.8558,27.48,73,9,10.38
142,Riyadh,SA,2021-11-09 12:02:31,24.6877,46.7219,80.55,18,5,1.77
143,Rocha,UY,2021-11-09 12:02:58,-34.4833,-54.3333,65.91,62,10,7.16
144,Muros,ES,2021-11-09 12:02:58,42.7762,-9.0603,69.24,68,1,7.38
145,Khani,GE,2021-11-09 12:02:59,41.9563,42.9566,67.57,45,43,1.61
146,Morehead,US,2021-11-09 12:02:59,37.2711,-87.1764,45.0,100,1,0.0
147,Carnarvon,AU,2021-11-09 12:02:59,-24.8667,113.6333,67.69,71,1,23.85
148,Fairbanks,US,2021-11-09 12:00:33,64.8378,-147.7164,1.98,74,51,4.0
149,Kodiak,US,2021-11-09 12:03:00,57.79,-152.4072,30.29,80,16,5.23
150,Kilindoni,TZ,2021-11-09 12:03:00,-7.9139,39.6668,82.67,69,67,8.88
151,Sitka,US,2021-11-09 12:03:00,57.0531,-135.33,44.49,53,90,19.57
152,Bethel,US,2021-11-09 12:01:08,41.3712,-73.414,52.92,90,0,3.42
153,Dikson,RU,2021-11-09 12:03:01,73.5069,80.5464,8.15,94,100,8.43
154,Bredasdorp,ZA,2021-11-09 12:03:02,-34.5322,20.0403,68.29,35,28,10.45
155,Gizo,SB,2021-11-09 12:03:02,-8.103,156.8419,83.37,72,32,4.92
156,Lebu,CL,2021-11-09 12:03:03,-37.6167,-73.65,54.43,89,100,9.84
157,Haelen,NL,2021-11-09 12:03:04,51.2358,5.9569,56.43,68,61,6.69
158,Lakhdenpokhya,RU,2021-11-09 12:03:04,61.5198,30.1992,29.82,71,26,4.32
159,Vostochnyy,RU,2021-11-09 12:03:05,55.8167,37.8667,31.93,62,60,14.94
160,Biscarrosse,FR,2021-11-09 12:03:05,44.3945,-1.1672,57.49,62,0,8.05
161,Walvis Bay,NA,2021-11-09 11:59:47,-22.9575,14.5053,81.55,32,6,9.22
162,Chara,RU,2021-11-09 12:03:05,56.9064,118.2631,13.3,79,35,1.99
