City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
524,Bom Jesus Da Lapa,BR,82.99,overcast clouds,-13.255,-43.4181,Hotel das Nações
528,Carire,BR,86.99,clear sky,-3.9506,-40.4733,POUSADA PAIVA
532,Ajdabiya,LY,79.3,scattered clouds,30.7554,20.2263,Almadina Hotel
533,Lamu,KE,88.02,few clouds,-2.2717,40.902,Lamu House
536,Teknaf,BD,78.82,overcast clouds,20.8624,92.3058,Forestry Guesthouse
537,San Policarpo,PH,82.27,overcast clouds,12.1791,125.5072,Agapita M. Nicart
539,Champerico,GT,76.03,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
547,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
551,Sibu,MY,80.91,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
552,Fomboni,KM,80.74,light rain,-12.28,43.7425,Auberge les abou
553,Buchanan,LR,87.76,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
559,Alyangula,AU,85.87,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
564,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
571,Saint-Joseph,RE,80.96,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
573,Coahuayana,MX,75.94,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
577,Anaco,VE,78.51,broken clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
585,Bachaquero,VE,77.54,overcast clouds,9.9694,-71.1494,casa de los dinosaurios
586,Pemangkat,ID,77.13,overcast clouds,1.1667,108.9667,Ramah Kost KITA
587,Pontes E Lacerda,BR,75.74,heavy intensity rain,-15.2261,-59.3353,Hotel Bressan
588,Buala,SB,81.36,light rain,-8.145,159.5921,Maringe Lagoon Lodge
591,Taoudenni,ML,78.8,overcast clouds,22.6783,-3.9836,
592,Ballina,AU,77.18,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
600,Aitape,PG,80.29,overcast clouds,-3.1374,142.3475,
603,Rock Sound,BS,79.39,light rain,24.9,-76.2,Rock Sound Club
611,Mgandu,TZ,88.36,scattered clouds,-5.95,34.1333,
616,Aloleng,PH,81.79,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
619,Poum,NC,77.83,broken clouds,-20.2333,164.0167,Gîte kajeon
621,Sinnamary,GF,79.81,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
629,Cairns,AU,83.1,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
632,Sawakin,SD,88.38,few clouds,19.1059,37.3321,فندق الدويم
633,Pokaran,IN,84.36,few clouds,26.9167,71.9167,Motel Pokaran - RTDC
639,Sao Raimundo Das Mangabeiras,BR,82.4,broken clouds,-7.0219,-45.4811,Hotel Tropical
641,Mumbwa,ZM,87.98,broken clouds,-14.9783,27.0619,Mumbwa Motel
642,Bhan,PK,87.66,scattered clouds,26.5583,67.7214,ZAMIN Ali Khushk
643,Maragogi,BR,81.28,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
644,Port Hedland,AU,75.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
645,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
650,Dawei,MM,78.87,broken clouds,14.0833,98.2,Hotel Dawei
651,Tsiroanomandidy,MG,83.43,broken clouds,-18.7667,46.0333,Hotel du Bongolave
653,Kudahuvadhoo,MV,82.58,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
657,Aden,YE,83.32,few clouds,12.7794,45.0367,Sama Emirate Hotel
666,Ziway,ET,79.2,broken clouds,7.9333,38.7167,Bethlehem Hotel
673,Santa Cruz De La Palma,ES,75.34,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
675,Poya,NC,75.79,broken clouds,-21.35,165.15,
676,Samarai,PG,82.99,overcast clouds,-10.6167,150.6667,Nuli Sapi
680,Cockburn Town,TC,81.79,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
683,Sao Felix Do Xingu,BR,84.06,broken clouds,-6.6447,-51.995,Rio Xingu Camping
693,Tombouctou,ML,82.38,overcast clouds,20.0,-3.0,
696,Princeton,US,78.01,scattered clouds,25.5384,-80.4089,American Best Inn
699,Moindou,NC,75.15,few clouds,-21.6924,165.677,Gite de la RYAWA
702,Mawlaik,MM,75.52,overcast clouds,23.6333,94.4167,AKZ Guest House
703,Robertsport,LR,83.19,broken clouds,6.7533,-11.3686,Kwepunha Retreat
705,Nerang,AU,76.84,overcast clouds,-27.9833,153.3333,RACV Royal Pines Resort Gold Coast
707,Omboue,GA,78.06,overcast clouds,-1.5746,9.2618,Hotel Olako
711,Kourou,GF,84.11,few clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
712,Tamandare,BR,82.18,few clouds,-8.7597,-35.1047,Pousada 100 Passos
715,Manadhoo,MV,82.31,few clouds,5.7667,73.3833,Reason Inn
717,Coaraci,BR,81.84,broken clouds,-14.6408,-39.5511,Pousada Alternativa Coaraci
